route_id,service_id,trip_id,trip_headsign,direction_id,direction,block_id,shape_id,wheelchair_accessible,branch_letter,boarding_type
4,2,1131369,Lyndale-Penn / Knox - American,1,SB,155948,770004009,1,P,0
72,1,1131370,Selby-Burns / University & Hamline,1,WB,156651,770072003,1,,0
87,3,1131372,Rosedale / Cleveland Ave / U of M,0,NB,156227,770087001,1,,0
805,2,1131373,Coon Rapids / Riverdale / DT Anoka,0,NB,156266,770805002,1,,0
4,2,1131376,Lyndale Av / Knox - American,1,SB,160287,770004001,1,L,0
87,3,1131377,Rosedale / Cleveland Ave / U of M,0,NB,156385,770087001,1,,0
65,1,1131379,Dale St / Rosedale,0,NB,156476,770065001,1,,0
4,3,1131380,Lyndale Av / Knox - American,1,SB,160048,770004001,1,L,0
546,2,1131381,Valley West / Norm Village / Norm Coll,1,WB,155996,770546001,1,,0
223,2,1131383,Maplewood Mall,0,EB,156311,770223002,1,,0
4,2,1131385,Lyndale Av / Knox - American,1,SB,160066,770004001,1,L,0
4,2,1131386,Lyndale Av / Knox - American,1,SB,160281,770004001,1,L,0
724,2,1131387,Starlite Ctr,0,NB,161467,770724001,1,,0
4,2,1131388,Johnson St / Silver Lk Vlg / Via Lyndale,0,NB,156384,770004004,1,B,0
4,3,1131389,Downtown / Via Lyndale,0,NB,160048,770004002,1,,0
540,1,1131393,76-77St / Mall of America,0,EB,156355,770540001,1,,0
4,2,1131396,Lyndale-Penn / Knox - American,1,SB,160066,770004009,1,P,0
345,2,1131397,Airport / Mall of America,1,WB,156370,770345002,1,,0
83,1,1131398,Lexington Pkwy / Montreal Ave,1,SB,156267,770083002,1,,0
4,3,1131399,Johnson St / Silver Lk Vlg / Via Lyndale,0,NB,156566,770004004,1,B,0
345,1,1131401,Airport / Woodbury,0,EB,156553,770345001,1,,0
724,1,1131402,Brklyn Ctr / Transit Ctr,1,SB,156022,770724003,1,,0
538,3,1131403,86St / Southtown / Southdale,1,WB,155993,770538001,1,,0
546,2,1131405,Valley West / Norm Village / Norm Coll,1,WB,156639,770546001,1,,0
540,2,1131407,76-77St / Mall of America,0,EB,156257,770540001,1,,0
323,1,1131410,LondinLn / WoodwindsHosp / WoodburyVilla,0,EB,156675,770323001,1,,0
540,1,1131413,76-77St / Mall of America,0,EB,155970,770540001,1,,0
54,2,1131414,Ltd Stop / Mall Amer / Via Airport,1,WB,156439,770054008,1,,0
546,2,1131417,Valley West / Norm Village / Norm Coll,1,WB,155996,770546001,1,,0
65,3,1131418,Dale & Grand,1,SB,156227,770065002,1,,0
219,1,1131423,Maplewood Mall,0,NB,156595,770219002,1,,0
83,3,1131424,Lexington Pkwy / Rosedale,0,NB,156144,770083001,1,,0
724,1,1131425,Brklyn Ctr / Transit Ctr,1,SB,160254,770724003,1,,0
323,2,1131426,LondinLn / WoodwindsHosp / WoodburyVilla,0,EB,156111,770323001,1,,0
17,2,1131428,MTKA Blvd / 24St-Uptown / Central-26Av,0,EB,160658,770017003,1,W,0
534,1,1131429,Lyndale / American Blvd / Norm Coll,1,WB,156037,770534001,1,,0
65,2,1131430,Dale & Grand,1,SB,156586,770065002,1,,0
540,1,1131431,76-77St / Mall of America,0,EB,155970,770540001,1,,0
4,2,1131432,Lyndale-Penn / Knox - American,1,SB,159541,770004009,1,P,0
65,1,1131433,Dale St / Rosedale,0,NB,156610,770065001,1,,0
4,3,1131435,Lyndale Av / Knox - American,1,SB,161767,770004001,1,L,0
323,1,1131436,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156437,770323002,1,,0
5,1,1131438,Chicago - 56St,1,SB,156633,770005007,1,B,0
5,2,1131439,Fremont Av / Brklyn Ctr / Transit Ctr,0,NB,156449,770005003,1,M,0
542,1,1131440,American Blvd / Norman Ctr,1,WB,156150,770542002,1,,0
87,2,1131442,Rosedale / Cleveland Ave / U of M,0,NB,155928,770087001,1,,0
4,3,1131445,Lyndale-Penn / Knox - American,1,SB,156566,770004010,1,P,0
724,1,1131449,Brklyn Ctr / Transit Ctr,1,SB,156268,770724003,1,,0
54,1,1131451,Ltd Stop / Mall Amer / Via Airport,1,WB,161607,770054008,1,,0
4,1,1131462,Lyndale Av / Knox - American,1,SB,160236,770004001,1,L,0
542,1,1131463,NormanCtr / American Blvd / Mall America,0,EB,155970,770542001,1,,0
54,2,1131464,Ltd Stop / Mall Amer / Via Airport,1,WB,161543,770054008,1,,0
33,1,1131466,Elm-Kasota / Westgate Sta,1,WB,156162,770033003,1,,0
75,1,1131467,Dtwn St Paul / Wabasha / Via Stryker,0,NB,156036,770075003,1,,0
4,3,1131468,Lyndale Av / Knox - American,1,SB,161594,770004001,1,L,0
716,3,1131470,Douglas Dr / Winnetka Av / Robbinsdale,1,SB,156064,770716001,1,,0
219,2,1131475,Sun Ray,1,SB,156225,770219001,1,,0
87,2,1131476,Rosedale / Cleveland Ave / U of M,0,NB,155928,770087001,1,,0
538,1,1131477,Southtown / 86St / Mall America,0,EB,156659,770538002,1,,0
72,1,1131485,Selby-Burns / Sun Ray,0,EB,156340,770072001,1,,0
4,3,1131486,Johnson St / Silver Lk Vlg / Via Penn,0,NB,160295,770004005,1,B,0
724,2,1131490,Brklyn Ctr / Transit Ctr,1,SB,161649,770724003,1,,0
323,2,1131491,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156104,770323002,1,,0
323,1,1131492,LondinLn / WoodwindsHosp / WoodburyVilla,0,EB,156675,770323001,1,,0
345,1,1131493,Airport / Woodbury,0,EB,156553,770345001,1,,0
65,3,1131498,Dale St / Rosedale,0,NB,156227,770065001,1,,0
323,3,1131503,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156031,770323002,1,,0
323,3,1131504,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156270,770323002,1,,0
724,2,1131506,Brklyn Ctr / Transit Ctr,1,SB,159936,770724003,1,,0
65,2,1131508,Dale St / Rosedale,0,NB,156586,770065001,1,,0
4,2,1131509,Lyndale-Penn / Knox - American,1,SB,161182,770004009,1,P,0
4,3,1131510,Lyndale-Penn / Knox - American,1,SB,156510,770004009,1,P,0
72,1,1131511,Selby-Burns / University & Hamline,1,WB,156690,770072003,1,,0
4,2,1131512,Johnson St / Silver Lk Vlg / Via Penn,0,NB,160287,770004007,1,B,0
83,1,1131513,Lexington Pkwy / Rosedale,0,NB,156267,770083001,1,,0
72,3,1131514,Selby-Burns / University & Hamline,1,WB,156086,770072003,1,,0
10,2,1131521,Central-41,0,NB,161130,770010009,1,C,0
724,2,1131523,Starlite Ctr,0,NB,156188,770724001,1,,0
805,1,1131525,Riverdale / Coon Rapids / Northtown,1,SB,156606,770805001,1,,0
546,1,1131526,Valley West / Norm Village / Norm Coll,1,WB,156280,770546001,1,,0
87,1,1131527,Rosedale / Cleveland Ave / U of M,0,NB,156628,770087001,1,,0
87,2,1131529,Rosedale / Cleveland Ave / U of M,0,NB,156417,770087001,1,,0
724,1,1131531,Brklyn Ctr / Transit Ctr,1,SB,156022,770724003,1,,0
54,1,1131532,Ltd Stop / Mall Amer / Via Airport,1,WB,160938,770054008,1,,0
542,1,1131538,NormanCtr / American Blvd / Mall America,0,EB,156550,770542001,1,,0
